comments,keywords
: 白爛no,"[':', ' ', '白爛', 'no']"
: 而且BLG的JINX是帶淨化而不是鬼步，這樣就算真的肥,"[':', ' ', '而且', 'BLG', '的', 'JINX', '是', '帶淨化', '而', '不是', '鬼步', '，', '這樣', '就算', '真的', '肥']"
: ELK就是個笑話,"[':', ' ', 'ELK', '就是', '個', '笑', '話']"
: 下路送你不要?Y,"[':', ' ', '下路', '送', '你', '不要', '?', 'Y']"
: GG這把尺哥舒服局,"[':', ' ', 'GG', '這把', '尺哥', '舒服', '局']"
: 大東無敵,"[':', ' ', '大東', '無敵']"
: LPL的AD真不行，還是韓國AD比較有料,"[':', ' ', 'LPL', '的', 'AD', '真', '不行', '，', '還是', '韓國', 'AD', '比較', '有料']"
: 了打團的上限也比T1帶鬼步低一些,"[':', ' ', '了', '打團', '的', '上限', '也', '比', 'T1', '帶鬼步', '低', '一些']"
: 飛輪海!!!,"[':', ' ', '飛輪海', '!', '!', '!']"
: jdg雙c好猛....,"[':', ' ', 'jdg', '雙', 'c', '好', '猛', '....']"
: 這個不點塔，傻眼,"[':', ' ', '這個', '不點', '塔', '，', '傻眼']"
: 四件頭!,"[':', ' ', '四件', '頭', '!']"
: GGGGGGGGG,"[':', ' ', 'GGGGGGGGG']"
: 尺哥A好爽,"[':', ' ', '尺哥', 'A', '好爽']"
: 四件頭 真的好強.................................,"[':', ' ', '四件', '頭', ' ', '真的', '好強', '.................................']"
: 幹 宇宙四件頭 我設了,"[':', ' ', '幹', ' ', '宇宙', '四件', '頭', ' ', '我設', '了']"
: 3打5,"[':', ' ', '3', '打', '5']"
: 尺好兇,"[':', ' ', '尺好', '兇']"
: 左手打LPL隊伍真的猛,"[':', ' ', '左手', '打', 'LPL', '隊伍', '真的', '猛']"
: 這飛輪好爽,"[':', ' ', '這飛輪', '好爽']"
: 尺帝剛剛身上都是輪子,"[':', ' ', '尺帝', '剛剛', '身上', '都', '是', '輪子']"
: 寄,"[':', ' ', '寄']"
: 靠 尺哥那個位置飛輪一打三 超扯,"[':', ' ', '靠', ' ', '尺哥', '那個', '位置', '飛輪', '一打', '三', ' ', '超扯']"
: 這就是4件頭,"[':', ' ', '這', '就是', '4', '件頭']"
: 優五聽起來很吵很躁,"[':', ' ', '優五聽', '起來', '很', '吵', '很躁']"
: 我設了! 宇宙四件頭!,"[':', ' ', '我設', '了', '!', ' ', '宇宙', '四件', '頭', '!']"
: 四箭頭,"[':', ' ', '四箭頭']"
: 這團是三小 有夠療癒欸,"[':', ' ', '這團', '是', '三', '小', ' ', '有', '夠療', '癒', '欸']"
: 尺哥是鬼,"[':', ' ', '尺哥', '是', '鬼']"
: BLG沒人抓尺帝 笑死,"[':', ' ', 'BLG', '沒人', '抓', '尺帝', ' ', '笑', '死']"
: 四件頭真的好強…,"[':', ' ', '四件', '頭', '真的', '好強', '…']"
: 這就是四件頭嗎,"[':', ' ', '這', '就是', '四件', '頭嗎']"
: 四件頭,"[':', ' ', '四件', '頭']"
: GG 尺哥太猛了,"[':', ' ', 'GG', ' ', '尺哥', '太猛', '了']"
: 四件頭好強,"[':', ' ', '四件', '頭好強']"
: 再見了blg allin輔助還想打,"[':', ' ', '再見', '了', 'blg', ' ', 'allin', '輔助', '還想', '打']"
: 尺哥哥真的好強,"[':', ' ', '尺', '哥哥', '真的', '好強']"
: AD 差距XD,"[':', ' ', 'AD', ' ', '差距', 'XD']"
: 笑死 到底要怎麼跟宇宙四件頭打,"[':', ' ', '笑', '死', ' ', '到底', '要', '怎麼', '跟', '宇宙', '四件', '頭打']"
: 左手狐狸 有料吧,"[':', ' ', '左手', '狐狸', ' ', '有料', '吧']"
: 什麼鬼輪子,"[':', ' ', '什麼', '鬼', '輪子']"
: BLG一堆醜夠,"[':', ' ', 'BLG', '一堆', '醜夠']"
: blg有人在搞阿,"[':', ' ', 'blg', '有人', '在', '搞', '阿']"
: 連LOL都有夜使者喔= =,"[':', ' ', '連', 'LOL', '都', '有', '夜', '使者', '喔', '=', ' ', '=']"
: 招都拿去抓輔助了尺哥爽射,"[':', ' ', '招都', '拿', '去', '抓', '輔助', '了', '尺哥', '爽射']"
: 最強四件頭怎麼輸,"[':', ' ', '最強', '四件', '頭怎麼', '輸']"
: 賽恩這開什麼鬼,"[':', ' ', '賽恩', '這開', '什麼', '鬼']"
: 為啥lulu可以扣R,"[':', ' ', '為', '啥', 'lulu', '可以', '扣', 'R']"
: 剛剛尺有淨化嗎  要開怎麼不開AD,"[':', ' ', '剛剛尺', '有', '淨化', '嗎', ' ', ' ', '要開', '怎麼', '不開', 'AD']"
: blg這個運營zzz，jinx在下面點塔已經拿兩層了,"[':', ' ', 'blg', '這個', '運營', 'zzz', '，', 'jinx', '在', '下面', '點塔', '已經', '拿', '兩層', '了']"
: 四件頭我服了,"[':', ' ', '四件', '頭我服', '了']"
: 這不是369大功嗎,"[':', ' ', '這', '不是', '369', '大功', '嗎']"
: 神左!狐人威武!,"[':', ' ', '神', '左', '!', '狐人', '威武', '!']"
: on被控到按不出來,"[':', ' ', 'on', '被控', '到', '按', '不', '出來']"
: 雙C爽輸出,"[':', ' ', '雙', 'C', '爽輸出']"
: 200years==,"[':', ' ', '200years', '=', '=']"
: 飛輪海,"[':', ' ', '飛輪海']"
: 笑死 銅牌亂打 蝦78亂送 可憐賽區,"[':', ' ', '笑', '死', ' ', '銅牌', '亂', '打', ' ', '蝦', '78', '亂', '送', ' ', '可憐', '賽區']"
: ???? JDG搞笑,"[':', ' ', '?', '?', '?', '?', ' ', 'JDG', '搞笑']"
: ruler?,"[':', ' ', 'ruler', '?']"
: 挖 豹女的傷害好高啊!,"[':', ' ', '挖', ' ', '豹女', '的', '傷害', '好', '高', '啊', '!']"
: 件頭?,"[':', ' ', '件頭', '?']"
: 輔助殺手,"[':', ' ', '輔助', '殺手']"
: BLG還有得打，JINX有無限可能,"[':', ' ', 'BLG', '還有', '得', '打', '，', 'JINX', '有無限', '可能']"
: 宇宙件頭怎麼倒啦,"[':', ' ', '宇宙', '件頭', '怎麼', '倒', '啦']"
: LULER,"[':', ' ', 'LULER']"
: 兩邊都看到輔助就開始交招抓XD,"[':', ' ', '兩邊', '都', '看到', '輔助', '就', '開始', '交招', '抓', 'XD']"
: 送回去了,"[':', ' ', '送', '回去', '了']"
: 比莎士比亞好看多了= =,"[':', ' ', '比莎士', '比亞', '好看', '多', '了', '=', ' ', '=']"
: AD差不多肥  一個打也肥  一個中路肥  看誰能C,"[':', ' ', 'AD', '差不多', '肥', ' ', ' ', '一個', '打', '也', '肥', ' ', ' ', '一個', '中路', '肥', ' ', ' ', '看', '誰', '能', 'C']"
: 神左 ... 真的好強 ...,"[':', ' ', '神', '左', ' ', '...', ' ', '真的', '好強', ' ', '...']"
: 左手4/0了.... 不會這系列又跟春冠一樣中路差距吧,"[':', ' ', '左手', '4', '/', '0', '了', '....', ' ', '不會', '這', '系列', '又', '跟', '春冠', '一樣', '中路', '差距', '吧']"
: 中路差距一直在啊，牙膏不是穩定輸線,"[':', ' ', '中路', '差距', '一直', '在', '啊', '，', '牙膏', '不是', '穩定', '輸線']"
: 神左…真的好強,"[':', ' ', '神', '左', '…', '真的', '好強']"
: 眼睛殺手,"[':', ' ', '眼睛', '殺手']"
: 尺哥77777,"[':', ' ', '尺哥', '77777']"
: 牙膏好戳==,"[':', ' ', '牙膏', '好', '戳', '=', '=']"
: 尺哥太猛惹==,"[':', ' ', '尺哥', '太猛', '惹', '=', '=']"
: 牙膏要睡到哪時,"[':', ' ', '牙膏', '要', '睡', '到', '哪時']"
: 這個夾子在夾三小,"[':', ' ', '這個', '夾子', '在', '夾三小']"
: 77777,"[':', ' ', '77777']"
: 神左！,"[':', ' ', '神', '左', '！']"
: 四件頭,"[':', ' ', '四件', '頭']"
: 尺哥會戰太爽了,"[':', ' ', '尺哥', '會戰', '太爽了']"
: 宇宙四件頭!!! 團戰好美  我設了,"[':', ' ', '宇宙', '四件', '頭', '!', '!', '!', ' ', '團戰', '好', '美', ' ', ' ', '我設', '了']"
: JDG雙C差距==,"[':', ' ', 'JDG', '雙', 'C', '差距', '=', '=']"
: ruler怎麼這麼猛  之前世界賽是誰在雷他啊,"[':', ' ', 'ruler', '怎麼', '這麼', '猛', ' ', ' ', '之前', '世界', '賽是', '誰', '在', '雷', '他', '啊']"
: mid gap,"[':', ' ', 'mid', ' ', 'gap']"
: 看吧件頭只是還沒發飆,"[':', ' ', '看吧', '件頭', '只是', '還沒', '發飆']"
: 切啥槍 亂講欸==,"[':', ' ', '切', '啥', '槍', ' ', '亂講', '欸', '=', '=']"
: 實力差超多 bin跟on就是肥料,"[':', ' ', '實力', '差', '超多', ' ', 'bin', '跟', 'on', '就是', '肥料']"
: 牙膏睏了,"[':', ' ', '牙膏', '睏', '了']"
: 優五在講三小,"[':', ' ', '優五在', '講三小']"
: 賽恩進場前就半血了= =,"[':', ' ', '賽恩', '進場', '前', '就', '半血', '了', '=', ' ', '=']"
: 為什麼每次都要 all in JG 啊,"[':', ' ', '為', '什麼', '每次', '都', '要', ' ', 'all', ' ', 'in', ' ', 'JG', ' ', '啊']"
: 尺哥真的好猛....,"[':', ' ', '尺哥', '真的', '好', '猛', '....']"
: 可惜爆擊,"[':', ' ', '可惜', '爆擊']"
: 下一把,"[':', ' ', '下', '一把']"
