comments,keywords
: 虎撲現在真的沒啥參考價值 雲到很懷疑是不是真人,"[':', ' ', '虎', '撲現', '在', '真的', '沒', '啥', '參考', '價值', ' ', '雲到', '很', '懷疑', '是不是', '真人']"
: 推文也一堆在噴啊,"[':', ' ', '推文', '也', '一堆', '在噴', '啊']"
: 金客斯怎麼輸,"[':', ' ', '金客斯', '怎麼', '輸']"
: 不是都測過了 怎麼風向還轉來轉去 狗哥又在搞哦XD,"[':', ' ', '不是', '都', '測過', '了', ' ', '怎麼', '風向', '還轉來', '轉去', ' ', '狗哥', '又', '在', '搞', '哦', 'XD']"
: 左手正反手教學吧,"[':', ' ', '左手', '正反手', '教學', '吧']"
: 沒有EDG WBG RNG 現在場上這兩隊輸了就是被噴,"[':', ' ', '沒有', 'EDG', ' ', 'WBG', ' ', 'RNG', ' ', '現在場', '上', '這兩隊', '輸', '了', '就是', '被噴']"
: 左手會卡桑地吧?,"[':', ' ', '左手', '會', '卡桑', '地', '吧', '?']"
: 因為狗哥是在睡覺 被rb打電話叫起來的,"[':', ' ', '因為', '狗哥', '是', '在', '睡覺', ' ', '被', 'rb', '打電話', '叫', '起來', '的']"
: BLG只剩菲艾陣 不知道還以為是老人隊去打,"[':', ' ', 'BLG', '只', '剩菲', '艾陣', ' ', '不', '知道', '還以', '為', '是', '老人', '隊去', '打']"
: 神左冰女吧  最強中單,"[':', ' ', '神', '左冰女', '吧', ' ', ' ', '最強', '中單']"
: 查了一下 春季沒拿過欸,"[':', ' ', '查', '了', '一下', ' ', '春季', '沒拿過', '欸']"
: 看比賽就蠻多雲 昨天還一個噴姑媽不帶淨化解擊飛,"[':', ' ', '看比賽', '就', '蠻', '多', '雲', ' ', '昨天', '還一個', '噴姑媽', '不', '帶淨', '化解', '擊飛']"
: 左手沒玩過中路黑甲吧 印象中季賽季後都沒有 (?,"[':', ' ', '左手', '沒玩過', '中路', '黑甲', '吧', ' ', '印象', '中季賽', '季後都', '沒有', ' ', '(', '?']"
: 左手之前有狂練 但我看的時候偏醜 最近沒關心,"[':', ' ', '左手', '之前', '有', '狂練', ' ', '但', '我', '看', '的', '時候', '偏醜', ' ', '最近', '沒關心']"
: U5是RB派來的斗內暗樁吧 又賺一波,"[':', ' ', 'U5', '是', 'RB', '派來', '的', '斗內', '暗樁', '吧', ' ', '又', '賺', '一波']"
: 黑甲是LCK最會搖，LPL有在搖嗎？,"[':', ' ', '黑甲', '是', 'LCK', '最會搖', '，', 'LPL', '有', '在', '搖嗎', '？']"
: ok 承9也說不行 一直反轉反轉,"[':', ' ', 'ok', ' ', '承', '9', '也', '說', '不行', ' ', '一直', '反轉', '反轉']"
: 他季後賽前一直卡桑帝酒桶 韓服鬼見愁,"[':', ' ', '他', '季後賽', '前', '一直', '卡桑', '帝', '酒桶', ' ', '韓服', '鬼', '見', '愁']"
: LPL幾乎沒拿過中路黑甲,"[':', ' ', 'LPL', '幾乎', '沒拿過', '中路', '黑甲']"
: 因為有練的 當時玩得都很爛 Rookie也是,"[':', ' ', '因為', '有練', '的', ' ', '當時', '玩', '得', '都', '很爛', ' ', 'Rookie', '也', '是']"
: 淨化解擊飛那個真的滿好笑的,"[':', ' ', '淨', '化解', '擊飛', '那個', '真的', '滿', '好笑', '的']"
: 還是這邊神左龍王,"[':', ' ', '還是', '這邊', '神', '左龍王']"
: 別鱷魚或菲歐拉喔..,"[':', ' ', '別', '鱷魚', '或', '菲', '歐拉', '喔', '..']"
: JINX活不了吧,"[':', ' ', 'JINX', '活不了', '吧']"
: 白癡bp jdg,"[':', ' ', '白', '癡', 'bp', ' ', 'jdg']"
: 選牛 可以下去了,"[':', ' ', '選牛', ' ', '可以', '下去', '了']"
: 確實欸右邊賽勒斯怎打,"[':', ' ', '確實', '欸', '右', '邊賽', '勒斯', '怎打']"
: 想到昨天的醜牛,"[':', ' ', '想到', '昨天', '的', '醜牛']"
: 這個meta看不到doinb真的蠻可惜的,"[':', ' ', '這個', 'meta', '看不到', 'doinb', '真的', '蠻', '可惜', '的']"
: 開大招了 非歐拉,"[':', ' ', '開大招', '了', ' ', '非', '歐拉']"
: 出手了嗎,"[':', ' ', '出手', '了', '嗎']"
: 出手惹,"[':', ' ', '出手', '惹']"
: 出手了,"[':', ' ', '出手', '了']"
: 我會出手!,"[':', ' ', '我會', '出手', '!']"
: 魯斯沒人要  還選一隻沒用的牛,"[':', ' ', '魯斯', '沒人要', ' ', ' ', '還選', '一', '隻', '沒用', '的', '牛']"
: 鱷魚 不太好吧?,"[':', ' ', '鱷魚', ' ', '不太好', '吧', '?']"
: 魯汁居然沒人選@@,"[':', ' ', '魯汁', '居然', '沒人選', '@', '@']"
: 看不起9哥是吧,"[':', ' ', '看不起', '9', '哥是', '吧']"
: 出手,"[':', ' ', '出手']"
: 好耶鬥士！！！,"[':', ' ', '好耶鬥士', '！', '！', '！']"
: 神左 卡桑帝！,"[':', ' ', '神', '左', ' ', '卡桑', '帝', '！']"
: 笑死XDDDDD 結果反手上路鱷魚打劍姬,"[':', ' ', '笑', '死', 'XDDDDD', ' ', '結果', '反手', '上路', '鱷魚', '打劍姬']"
: 阿BIN!!!!開砍!!!,"[':', ' ', '阿', 'BIN', '!', '!', '!', '!', '開砍', '!', '!', '!']"
: BIN的非歐拉 又要110了嗎,"[':', ' ', 'BIN', '的', '非', '歐拉', ' ', '又', '要', '110', '了', '嗎']"
: 算了吧 菲歐拉跟鱷魚角色本身都毒瘤,"[':', ' ', '算了吧', ' ', '菲', '歐拉', '跟', '鱷魚', '角色', '本身', '都', '毒瘤']"
: 為什麼又牛啊???,"[':', ' ', '為', '什麼', '又', '牛', '啊', '?', '?', '?']"
: 彬菲歐拉我的印象都是贏線沒贏game,"[':', ' ', '彬菲', '歐拉', '我', '的', '印象', '都', '是', '贏線', '沒贏', 'game']"
: 好耶 鬥士對開 這樣才好看,"[':', ' ', '好', '耶', ' ', '鬥士', '對', '開', ' ', '這樣', '才', '好看']"
: 左手什麼都會玩,"[':', ' ', '左手', '什麼', '都', '會', '玩']"
: 右邊有夠奇葩 下去,"[':', ' ', '右邊', '有夠', '奇葩', ' ', '下去']"
: 0130,"[':', ' ', '0130']"
: 絕活局,"[':', ' ', '絕活局']"
: 有點想下BLG 那隻菲歐拉肥了不知道怎麼擋,"[':', ' ', '有點', '想', '下', 'BLG', ' ', '那', '隻', '菲', '歐拉肥', '了', '不', '知道', '怎麼', '擋']"
: LPL內戰版本，勿嘴,"[':', ' ', 'LPL', '內戰', '版本', '，', '勿', '嘴']"
: bin不會玩坦 終究二流上路,"[':', ' ', 'bin', '不會', '玩坦', ' ', '終究', '二流', '上路']"
: 欸幹 左手拿黑甲欸???,"[':', ' ', '欸', '幹', ' ', '左手', '拿', '黑甲', '欸', '?', '?', '?']"
: 不會辣，BIN應該不打團BD到底,"[':', ' ', '不會辣', '，', 'BIN', '應該', '不', '打團', 'BD', '到底']"
: BLG陣容比較好一點點? JINX根本保不住,"[':', ' ', 'BLG', '陣容', '比', '較', '好', '一點點', '?', ' ', 'JINX', '根本', '保不住']"
: 000菲歐拉重出江湖嗎,"[':', ' ', '000', '菲', '歐拉', '重出江湖', '嗎']"
: 硬幣哥只能在家解說 可憐,"[':', ' ', '硬幣哥', '只能', '在家', '解說', ' ', '可憐']"
: 左手英雄池很深的 可惜是中路ㄏ長,"[':', ' ', '左手', '英雄', '池', '很', '深', '的', ' ', '可惜', '是', '中路', 'ㄏ', '長']"
: 369很愛跟團的，BIN應該破件者BD到底惹,"[':', ' ', '369', '很愛跟團', '的', '，', 'BIN', '應該', '破件', '者', 'BD', '到底', '惹']"
: 開場看到BLG BAN兩坦就知道bin想玩自慰角了,"[':', ' ', '開場', '看到', 'BLG', ' ', 'BAN', '兩坦', '就', '知道', 'bin', '想', '玩', '自慰', '角', '了']"
: 說實話 牛下路對線很弱很弱,"[':', ' ', '說', '實話', ' ', '牛下路', '對線', '很弱', '很弱']"
: bin的菲歐拉不算強吧 打DK拿個五殺 再選幾乎沒強過,"[':', ' ', 'bin', '的', '菲', '歐拉', '不算', '強吧', ' ', '打', 'DK', '拿個', '五殺', ' ', '再選', '幾乎', '沒', '強過']"
: 垃圾菲歐拉出來囉,"[':', ' ', '垃圾', '菲', '歐拉出', '來', '囉']"
: BLG衝排陣 JDG四大男保AD,"[':', ' ', 'BLG', '衝排', '陣', ' ', 'JDG', '四大', '男保', 'AD']"
: LCK那麼多作業給抄 看神左多屌,"[':', ' ', 'LCK', '那麼', '多', '作業給', '抄', ' ', '看神', '左多', '屌']"
: 左手練很久了阿 而且理論上這是他會愛玩的角色,"[':', ' ', '左手', '練', '很', '久', '了', '阿', ' ', '而且', '理論', '上', '這是', '他', '會', '愛玩', '的', '角色']"
: 重點應該是JINX活不了一定死 飛歐拉不太重要了,"[':', ' ', '重點', '應該', '是', 'JINX', '活不了', '一定', '死', ' ', '飛', '歐拉不太', '重要', '了']"
: 有點可惜，ban掉剪刀妹結果黑甲走中,"[':', ' ', '有點', '可惜', '，', 'ban', '掉', '剪刀', '妹結果', '黑甲', '走', '中']"
: 不是他菲歐拉不強吧，是他根本不強== 就三線咖,"[':', ' ', '不是', '他菲', '歐拉不強', '吧', '，', '是', '他', '根本', '不強', '=', '=', ' ', '就', '三線', '咖']"
: 不選魯斯 選一個白痴牛 能幹嘛,"[':', ' ', '不選魯斯', ' ', '選一個', '白痴', '牛', ' ', '能', '幹', '嘛']"
: INB哥 直播很賺錢 不用打職業了,"[':', ' ', 'INB', '哥', ' ', '直播', '很', '賺', '錢', ' ', '不用', '打', '職業', '了']"
: BIN 菲歐拉至少贏過一場 WC決賽penta那場,"[':', ' ', 'BIN', ' ', '菲', '歐拉', '至少', '贏過', '一場', ' ', 'WC', '決賽', 'penta', '那場']"
: 左邊陣容接不了團，只能BD到底，打團19開吧,"[':', ' ', '左邊', '陣容接', '不了', '團', '，', '只能', 'BD', '到底', '，', '打團', '19', '開', '吧']"
: 三線咖XDDDDDD,"[':', ' ', '三線', '咖', 'XDDDDDD']"
: Ruler會玩不了遊戲？別鬧了，秀到你菲艾變白痴,"[':', ' ', 'Ruler', '會', '玩', '不了', '遊戲', '？', '別鬧', '了', '，', '秀到', '你', '菲', '艾變', '白痴']"
: 上路坦克四保一的版本還在玩劍姬 落後LCK太多,"[':', ' ', '上路', '坦克', '四保一', '的', '版本', '還在', '玩劍姬', ' ', '落', '後', 'LCK', '太多']"
: 還是看不懂  選牛幹嘛,"[':', ' ', '還是', '看不懂', ' ', ' ', '選牛', '幹', '嘛']"
: 好了啦 bin好歹總決賽對過牛骨力 也在msi幹過宙斯,"[':', ' ', '好', '了', '啦', ' ', 'bin', '好歹', '總決賽', '對', '過牛', '骨力', ' ', '也', '在', 'msi', '幹過', '宙斯']"
: 中路劍姬???,"[':', ' ', '中路', '劍姬', '?', '?', '?']"
: bin打中路  八成被抓爆= =,"[':', ' ', 'bin', '打', '中路', ' ', ' ', '八成', '被', '抓', '爆', '=', ' ', '=']"
: 中上換線XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,"[':', ' ', '中上', '換線', 'XDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD']"
: 這是什麼 S10春決滔搏？,"[':', ' ', '這是', '什麼', ' ', 'S10', '春決', '滔搏', '？']"
: 線短成這樣 你能壓多少,"[':', ' ', '線', '短成', '這樣', ' ', '你', '能', '壓', '多少']"
: 上中換線???,"[':', ' ', '上', '中換線', '?', '?', '?']"
: 換路喔,"[':', ' ', '換路', '喔']"
: 不對啊 這樣神左印記掉了呀,"[':', ' ', '不', '對', '啊', ' ', '這樣', '神', '左', '印記', '掉', '了', '呀']"
: 怕了吧，可是對面是左手喔,"[':', ' ', '怕', '了', '吧', '，', '可是', '對面', '是', '左手', '喔']"
: 中路劍姬??? 想被抓爆?,"[':', ' ', '中路', '劍姬', '?', '?', '?', ' ', '想', '被', '抓', '爆', '?']"
: ?????????????????????,"[':', ' ', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']"
: 這水準三線咖 那lck沒幾個上路能撐四線咖的,"[':', ' ', '這水準', '三線', '咖', ' ', '那', 'lck', '沒幾個', '上路', '能撐', '四線', '咖的']"
: 笑死,"[':', ' ', '笑', '死']"
: On在搞欸,"[':', ' ', 'On', '在', '搞', '欸']"
: 中路對線差距太大 換個人對XD,"[':', ' ', '中路', '對線', '差距', '太', '大', ' ', '換個', '人', '對', 'XD']"
: 隊友出手,"[':', ' ', '隊友', '出手']"
: 下路爆炸,"[':', ' ', '下路', '爆炸']"
: GG,"[':', ' ', 'GG']"
: 換線耶 BLG有理解,"[':', ' ', '換線', '耶', ' ', 'BLG', '有', '理解']"
: Missing 怎麼死啦,"[':', ' ', 'Missing', ' ', '怎麼', '死', '啦']"
: 隊友先出事 可憐,"[':', ' ', '隊友', '先', '出事', ' ', '可憐']"
: 好了 不用擔心JINX,"[':', ' ', '好', '了', ' ', '不用', '擔心', 'JINX']"
: BIN:我會出手 隊友:我會出事,"[':', ' ', 'BIN', ':', '我會', '出手', ' ', '隊友', ':', '我會', '出事']"
: 要3-0了   這樣死是怎樣,"[':', ' ', '要', '3', '-', '0', '了', ' ', ' ', ' ', '這樣', '死', '是', '怎樣']"
: 我會出事 77777,"[':', ' ', '我會', '出事', ' ', '77777']"
: off,"[':', ' ', 'off']"
: FMVP AD尺哥 我設了!!!!,"[':', ' ', 'FMVP', ' ', 'AD', '尺哥', ' ', '我設', '了', '!', '!', '!', '!']"
: 下路被布隆的組合拿一血 可憐哪ON,"[':', ' ', '下路', '被', '布隆', '的', '組合', '拿', '一血', ' ', '可憐', '哪', 'ON']"
: 牛 頂上去啊牛,"[':', ' ', '牛', ' ', '頂', '上去', '啊', '牛']"
: 四件頭！！,"[':', ' ', '四件', '頭', '！', '！']"
: BIN：我會出手 ON：我出事了,"[':', ' ', 'BIN', '：', '我會', '出手', ' ', 'ON', '：', '我', '出事', '了']"
: 選個牛...,"[':', ' ', '選個', '牛', '...']"
: 準備穿線,"[':', ' ', '準備', '穿線']"
: 有閃現為啥會死= =?,"[':', ' ', '有', '閃現', '為', '啥', '會', '死', '=', ' ', '=', '?']"
: 整天選那個爛牛……,"[':', ' ', '整天', '選那個', '爛牛', '…', '…']"
: 點了吧 可以準備敗部拉,"[':', ' ', '點了', '吧', ' ', '可以', '準備', '敗部', '拉']"
: 我會出手 打下路,"[':', ' ', '我會', '出手', ' ', '打下', '路']"
: 3-0囉,"[':', ' ', '3', '-', '0', '囉']"
: BLG已經被左手觸發弱者標記 沒救了,"[':', ' ', 'BLG', '已經', '被', '左手', '觸發', '弱者', '標記', ' ', '沒救', '了']"
: 我會出事,"[':', ' ', '我會', '出事']"
: 狂牛症危險…花生,"[':', ' ', '狂牛症', '危險', '…', '花生']"
: 選牛幾乎打線就是長這樣,"[':', ' ', '選牛', '幾乎', '打線', '就是', '長', '這樣']"
: OFF了,"[':', ' ', 'OFF', '了']"
: Slowly送,"[':', ' ', 'Slowly', '送']"
: 蛤 這三小親= =?,"[':', ' ', '蛤', ' ', '這三小親', '=', ' ', '=', '?']"
: 就說看不懂為什麼選牛啊 意義在哪,"[':', ' ', '就', '說', '看不懂', '為', '什麼', '選牛', '啊', ' ', '意義在', '哪']"
:  333,"[':', ' ', ' ', '333']"
: 太扯了吧,"[':', ' ', '太扯', '了', '吧']"
: 3哥 一點感覺都沒有啊,"[':', ' ', '3', '哥', ' ', '一點', '感覺', '都', '沒', '有', '啊']"
: 牙膏親小兵 真的是超級爛 可憐,"[':', ' ', '牙膏', '親', '小兵', ' ', '真的', '是', '超級爛', ' ', '可憐']"
: 還好369也是夠白癡 這樣直接死,"[':', ' ', '還好', '369', '也', '是夠', '白', '癡', ' ', '這樣', '直接', '死']"
: 333333,"[':', ' ', '333333']"
: ?? 369,"[':', ' ', '?', '?', ' ', '369']"
: 好bait,"[':', ' ', '好', 'bait']"
: 心理戰親!,"[':', ' ', '心理', '戰親', '!']"
: 影帝,"[':', ' ', '影帝']"
: 心理戰,"[':', ' ', '心理', '戰']"
: 故意的,"[':', ' ', '故意', '的']"
: 這是金鐘獎 還是無心插柳柳橙汁,"[':', ' ', '這是', '金鐘獎', ' ', '還是', '無心', '插', '柳', '柳橙汁']"
: 影帝,"[':', ' ', '影帝']"
: 牙膏應該是故意E不到，騙369往前,"[':', ' ', '牙膏', '應該', '是', '故意', 'E', '不到', '，', '騙', '369', '往前']"
: 假裝沒親到 讓369繼續壓,"[':', ' ', '假裝', '沒親', '到', ' ', '讓', '369', '繼續', '壓']"
: 這是為了讓他大意!,"[':', ' ', '這是', '為', '了', '讓', '他', '大意', '!']"
: 沒親了快上,"[':', ' ', '沒親', '了', '快', '上']"
: 是故意的還是爛啊,"[':', ' ', '是', '故意', '的', '還是爛', '啊']"
: 心理戰,"[':', ' ', '心理', '戰']"
: 選牛就是下路要輸的,"[':', ' ', '選牛', '就是', '下路', '要', '輸', '的']"
: 369：哈哈這個e,"[':', ' ', '369', '：', '哈哈', '這個', 'e']"
: 我不信啦  你跟我說牙膏親是baIt= =?,"[':', ' ', '我', '不信', '啦', ' ', ' ', '你', '跟', '我', '說', '牙膏', '親是', 'baIt', '=', ' ', '=', '?']"
: 看起來是故意的,"[':', ' ', '看起', '來', '是', '故意', '的']"
: 頂級戲精,"[':', ' ', '頂級', '戲精']"
: 這波牙膏在大氣層,"[':', ' ', '這波', '牙膏', '在', '大氣層']"
: 左手:難受,"[':', ' ', '左手', ':', '難受']"
: 小兵檔前面，我是不信有職業在那邊會隨便E辣,"[':', ' ', '小兵', '檔', '前面', '，', '我', '是', '不信', '有', '職業', '在', '那', '邊會', '隨便', 'E', '辣']"
: 好想看左手黑甲是對狐狸==,"[':', ' ', '好', '想', '看', '左手', '黑甲', '是', '對', '狐狸', '=', '=']"
: 鱷魚之後會變成鱷魚皮包的,"[':', ' ', '鱷魚', '之後會', '變成', '鱷魚', '皮包', '的']"
: 可是確實少了那個親鱷魚才敢繼續往前就是了,"[':', ' ', '可是', '確實少', '了', '那個親', '鱷', '魚才', '敢', '繼續', '往前', '就是', '了']"
: 輸也不用一等就死掉  布朗母ㄟ  哪有那麼容易,"[':', ' ', '輸', '也', '不用', '一等', '就', '死', '掉', ' ', ' ', '布朗', '母', 'ㄟ', ' ', ' ', '哪有', '那麼', '容易']"
: 黑人太狗了 被打成這樣甚至沒輸CS,"[':', ' ', '黑人', '太狗', '了', ' ', '被', '打成', '這樣', '甚至', '沒輸', 'CS']"
: 你還是出小反甲比較安全,"[':', ' ', '你', '還是', '出', '小', '反甲', '比', '較', '安全']"
: gg 3:0,"[':', ' ', 'gg', ' ', '3', ':', '0']"
: BLG打三小,"[':', ' ', 'BLG', '打三小']"
: 點一點,"[':', ' ', '點一點']"
: GG 狗屎團站,"[':', ' ', 'GG', ' ', '狗屎', '團站']"
: 笑死 大東A了老半天 黑甲一個Q 你就沒了,"[':', ' ', '笑', '死', ' ', '大東', 'A', '了', '老半天', ' ', '黑甲', '一個', 'Q', ' ', '你', '就', '沒', '了']"
: ELK在打三小,"[':', ' ', 'ELK', '在', '打三小']"
: 蝦78開==,"[':', ' ', '蝦', '78', '開', '=', '=']"
: 這個鎖 是BDS打野上身嗎,"[':', ' ', '這個鎖', ' ', '是', 'BDS', '打野', '上身', '嗎']"
: 被打爛 真的遇到正常隊伍BLG就爆炸了,"[':', ' ', '被', '打爛', ' ', '真的', '遇到', '正常', '隊伍', 'BLG', '就', '爆炸', '了']"
: 傻逼嗎 jdg打完滿血,"[':', ' ', '傻', '逼', '嗎', ' ', 'jdg', '打', '完滿血']"
: 下班囉，大楷開心,"[':', ' ', '下班', '囉', '，', '大楷', '開心']"
: 吐了,"[':', ' ', '吐', '了']"
: 大楷要下班囉~,"[':', ' ', '大楷', '要', '下班', '囉', '~']"
: 在玩三小？,"[':', ' ', '在', '玩', '三', '小', '？']"
: 下班囉,"[':', ' ', '下班', '囉']"
: NA ICANT,"[':', ' ', 'NA', ' ', 'ICANT']"
: 靠北 老豹 + NA Jayce要贏了,"[':', ' ', '靠北', ' ', '老豹', ' ', '+', ' ', 'NA', ' ', 'Jayce', '要贏', '了']"
: GG竟然是以這種方式輸掉的= =,"[':', ' ', 'GG', '竟然', '是', '以', '這種', '方式', '輸掉', '的', '=', ' ', '=']"
: 下班嘍,"[':', ' ', '下班', '嘍']"
: 下班囉,"[':', ' ', '下班', '囉']"
: 好像下班了ㄟ☺,"[':', ' ', '好像', '下班', '了', 'ㄟ', '☺']"
: POKE陣大成功,"[':', ' ', 'POKE', '陣大', '成功']"
: 樹人超醜  Q到就死了,"[':', ' ', '樹人', '超醜', ' ', ' ', 'Q', '到', '就', '死', '了']"
: 下班,"[':', ' ', '下班']"
: 爆太多了,"[':', ' ', '爆太多', '了']"
: 下班囉,"[':', ' ', '下班', '囉']"
: GG下路這三個人大聲表示 沒殺了我們還想走嗎,"[':', ' ', 'GG', '下路', '這三個', '人大', '聲', '表示', ' ', '沒殺', '了', '我們', '還想', '走', '嗎']"
: 這什麼大便守塔,"[':', ' ', '這什麼', '大便', '守塔']"
: 下班囉,"[':', ' ', '下班', '囉']"
: 大楷嗨起來了,"[':', ' ', '大楷', '嗨', '起來', '了']"
: 笑死 NA真的不能用陣容看,"[':', ' ', '笑', '死', ' ', 'NA', '真的', '不能', '用陣容', '看']"
: 玩虐,"[':', ' ', '玩虐']"
: explosion,"[':', ' ', 'explosion']"
: 遊戲結束,"[':', ' ', '遊戲', '結束']"
: ok 開戰前說沒贏3k不用玩的 這不就表演給你看了嗎,"[':', ' ', 'ok', ' ', '開戰前', '說', '沒贏', '3k', '不用', '玩', '的', ' ', '這不', '就', '表演', '給你看', '了', '嗎']"
: 大楷原本都放棄現在又活過來了,"[':', ' ', '大楷', '原本', '都', '放棄現', '在', '又', '活過', '來', '了']"
: 夢該醒了，差距太大,"[':', ' ', '夢該', '醒', '了', '，', '差距', '太', '大']"
: 0換3 XDD,"[':', ' ', '0', '換', '3', ' ', 'XDD']"
: 結束辣,"[':', ' ', '結束', '辣']"
: 送,"[':', ' ', '送']"
: GGGG囉,"[':', ' ', 'GGGG', '囉']"
: 沒有團戰畫面了 倒光光,"[':', ' ', '沒有', '團戰', '畫面', '了', ' ', '倒', '光光']"
: NA的比賽 很神奇吧,"[':', ' ', 'NA', '的', '比賽', ' ', '很', '神奇', '吧']"
: 遊戲結束,"[':', ' ', '遊戲', '結束']"
: LICORICE:,"[':', ' ', 'LICORICE', ':']"
: GG幫忙提速下班,"[':', ' ', 'GG', '幫忙', '提速', '下班']"
: 除非C9發病不然GG根本撐不到發力期,"[':', ' ', '除非', 'C9', '發病', '不然', 'GG', '根本', '撐', '不到', '發力期']"
: 6:50差3700笑死,"[':', ' ', '6', ':', '50', '差', '3700', '笑', '死']"
: 每路都輸欸,"[':', ' ', '每路', '都', '輸', '欸']"
: 又可以下班了,"[':', ' ', '又', '可以', '下班', '了']"
: 大楷精神又來了,"[':', ' ', '大楷', '精神', '又', '來', '了']"
: 贏3k了 可以玩了啊XDD,"[':', ' ', '贏', '3k', '了', ' ', '可以', '玩', '了', '啊', 'XDD']"
: 真的是explosion了,"[':', ' ', '真的', '是', 'explosion', '了']"
: 贏3K啦 GGGG,"[':', ' ', '贏', '3K', '啦', ' ', 'GGGG']"
: 好狠喔菜刀隊,"[':', ' ', '好狠', '喔', '菜刀', '隊']"
: 睡覺了覺睡了@@,"[':', ' ', '睡覺', '了', '覺', '睡', '了', '@', '@']"
: 等等還沒打團 GG就直接被Poke到殘血了,"[':', ' ', '等等', '還沒', '打團', ' ', 'GG', '就', '直接', '被', 'Poke', '到', '殘血', '了']"
: GG節奏炸爛欸= =,"[':', ' ', 'GG', '節奏', '炸爛', '欸', '=', ' ', '=']"
: 莉可莉絲:slowly送,"[':', ' ', '莉', '可莉絲', ':', 'slowly', '送']"
: 該睡覺了，明天要上班了,"[':', ' ', '該', '睡覺', '了', '，', '明天', '要', '上班', '了']"
: 9分5k,"[':', ' ', '9', '分', '5k']"
: 上路不做事還在躺...,"[':', ' ', '上路', '不', '做事', '還在', '躺', '...']"
: 找洞打 往死裡打,"[':', ' ', '找洞', '打', ' ', '往死裡', '打']"
: 不到10分鐘輸五千 太扯,"[':', ' ', '不到', '10', '分鐘輸', '五千', ' ', '太扯']"
: 幾乎每隻都能POKE 壓爆,"[':', ' ', '幾乎', '每', '隻', '都', '能', 'POKE', ' ', '壓爆']"
: 當初靠這組中野出國 現在要被這組中野帶回家了,"[':', ' ', '當初', '靠', '這組', '中野', '出國', ' ', '現在', '要', '被', '這組', '中野', '帶', '回家', '了']"
: 8分5K  有夠恐怖,"[':', ' ', '8', '分', '5K', ' ', ' ', '有夠', '恐怖']"
: 單傻,"[':', ' ', '單傻']"
: 輔助單殺 KEKW,"[':', ' ', '輔助', '單殺', ' ', 'KEKW']"
: 笑死 輔助單殺,"[':', ' ', '笑', '死', ' ', '輔助', '單殺']"
: 9分鐘五千笑死,"[':', ' ', '9', '分鐘', '五千', '笑', '死']"
: 莉可莉絲 送慢點啊,"[':', ' ', '莉', '可莉絲', ' ', '送', '慢點', '啊']"
: 不到9分鐘，5K差距，也太離譜了,"[':', ' ', '不到', '9', '分鐘', '，', '5K', '差距', '，', '也', '太離', '譜', '了']"
: 心態要崩囉,"[':', ' ', '心態', '要', '崩', '囉']"
: 輔助單沙,"[':', ' ', '輔助', '單沙']"
: ??輔助單沙??,"[':', ' ', '?', '?', '輔助', '單沙', '?', '?']"
: 15,"[':', ' ', '15']"
: 輔助單殺打野,"[':', ' ', '輔助', '單殺', '打野']"
: 幫莉可莉絲QQ 隊友都在搞,"[':', ' ', '幫莉', '可莉絲', 'QQ', ' ', '隊友', '都', '在', '搞']"
: XDDD泡麵頭好強,"[':', ' ', 'XDDD', '泡', '麵', '頭好強']"
: 笑死，輔助單殺打野,"[':', ' ', '笑', '死', '，', '輔助', '單殺', '打野']"
: ....,"[':', ' ', '....']"
: 輔助單殺@@,"[':', ' ', '輔助', '單殺', '@', '@']"
: 下班人,"[':', ' ', '下班', '人']"
: 下路連吃兵都沒得吃了,"[':', ' ', '下路', '連吃兵', '都', '沒得', '吃', '了']"
: 1凶3 可悲,"[':', ' ', '1', '凶', '3', ' ', '可悲']"
: 用臉接標的C位,"[':', ' ', '用臉', '接標', '的', 'C', '位']"
: NA感覺不需要教練團 因為BP真的不重要欸,"[':', ' ', 'NA', '感覺', '不', '需要', '教練團', ' ', '因為', 'BP', '真的', '不', '重要', '欸']"
: 10分鐘不到 塔皮沒了,"[':', ' ', '10', '分鐘', '不到', ' ', '塔皮', '沒', '了']"
: 隨便殺,"[':', ' ', '隨便', '殺']"
: 10:00差6000笑死,"[':', ' ', '10', ':', '00', '差', '6000', '笑', '死']"
: 笑死 AD對點自殺,"[':', ' ', '笑', '死', ' ', 'AD', '對點', '自殺']"
: stixxay 笑死,"[':', ' ', 'stixxay', ' ', '笑', '死']"
: 這ad真的留湯欸,"[':', ' ', '這', 'ad', '真的', '留湯', '欸']"
: 好痛,"[':', ' ', '好痛']"
: 廢物ad,"[':', ' ', '廢物', 'ad']"
: 笑死 找人單挑還被射爛,"[':', ' ', '笑', '死', ' ', '找人單', '挑還', '被', '射爛']"
: 好滑,"[':', ' ', '好', '滑']"
: 這AD真的笑死,"[':', ' ', '這', 'AD', '真的', '笑', '死']"
: +700,"[':', ' ', '+', '700']"
: 你jz跟poke法落點,"[':', ' ', '你', 'jz', '跟', 'poke', '法落點']"
: 白痴AD有小兵還不跑,"[':', ' ', '白痴', 'AD', '有', '小兵', '還不跑']"
: 這AD真的太爛了吧,"[':', ' ', '這', 'AD', '真的', '太爛', '了', '吧']"
